strategy,seed,budget_step,best_external_utility
heuristic,0,1,-2.0
heuristic,0,2,1.4184654965136425
heuristic,0,3,1.4184654965136425
heuristic,0,4,1.4184654965136425
heuristic,0,5,1.4184654965136425
heuristic,0,6,1.5600523215424056
heuristic,0,7,1.5600523215424056
heuristic,0,8,1.5600523215424056
heuristic,0,9,1.5600523215424056
heuristic,0,10,1.5600523215424056
heuristic,0,11,1.5600523215424056
heuristic,0,12,1.5600523215424056
heuristic,1,1,1.4184654932206195
heuristic,1,2,1.4184654932206195
heuristic,1,3,1.4184654932206195
heuristic,1,4,1.6040262650039838
heuristic,1,5,1.6040262650039838
heuristic,1,6,1.6040262650039838
heuristic,1,7,1.6040262650039838
heuristic,1,8,1.6254197545660276
heuristic,1,9,1.6254197545660276
heuristic,1,10,1.6254197545660276
heuristic,1,11,1.6254197545660276
heuristic,1,12,1.6517637418894626
heuristic,2,1,-2.0
heuristic,2,2,-2.0
heuristic,2,3,-2.0
heuristic,2,4,1.601324933490595
heuristic,2,5,1.601324933490595
heuristic,2,6,1.601324933490595
heuristic,2,7,1.601324933490595
heuristic,2,8,1.601324933490595
heuristic,2,9,1.6517637418894626
heuristic,2,10,1.6517637418894626
heuristic,2,11,1.6517637418894626
heuristic,2,12,1.6517637418894626
heuristic,3,1,1.5422182724363498
heuristic,3,2,1.6517637418894626
heuristic,3,3,1.6517637418894626
heuristic,3,4,1.6517637418894626
heuristic,3,5,1.6517637418894626
heuristic,3,6,1.6517637418894626
heuristic,3,7,1.6517637418894626
heuristic,3,8,1.6517637418894626
heuristic,3,9,1.6517637418894626
heuristic,3,10,1.6517637418894626
heuristic,3,11,1.6517637418894626
heuristic,3,12,1.6517637418894626
heuristic,4,1,1.5251607380205694
heuristic,4,2,1.577327286321727
heuristic,4,3,1.577327286321727
heuristic,4,4,1.577327286321727
heuristic,4,5,1.577327286321727
heuristic,4,6,1.577327286321727
heuristic,4,7,1.577327286321727
heuristic,4,8,1.577327286321727
heuristic,4,9,1.6040262650039838
heuristic,4,10,1.6040262650039838
heuristic,4,11,1.6040262650039838
heuristic,4,12,1.6040262650039838
heuristic,5,1,-2.0
heuristic,5,2,-2.0
heuristic,5,3,-2.0
heuristic,5,4,1.520315302036094
heuristic,5,5,1.520315302036094
heuristic,5,6,1.520315302036094
heuristic,5,7,1.520315302036094
heuristic,5,8,1.6040262650039838
heuristic,5,9,1.6040262650039838
heuristic,5,10,1.6040262650039838
heuristic,5,11,1.6517637418894626
heuristic,5,12,1.6517637418894626
heuristic,6,1,1.5600523215424056
heuristic,6,2,1.5600523215424056
heuristic,6,3,1.5600523215424056
heuristic,6,4,1.5600523215424056
heuristic,6,5,1.5600523215424056
heuristic,6,6,1.5600523215424056
heuristic,6,7,1.5600523215424056
heuristic,6,8,1.5600523215424056
heuristic,6,9,1.5600523215424056
heuristic,6,10,1.5600523215424056
heuristic,6,11,1.5600523215424056
heuristic,6,12,1.601324933490595
heuristic,7,1,1.6254197545660276
heuristic,7,2,1.6254197545660276
heuristic,7,3,1.6254197545660276
heuristic,7,4,1.6254197545660276
heuristic,7,5,1.6254197545660276
heuristic,7,6,1.6517637418894626
heuristic,7,7,1.6517637418894626
heuristic,7,8,1.6517637418894626
heuristic,7,9,1.6517637418894626
heuristic,7,10,1.6517637418894626
heuristic,7,11,1.6517637418894626
heuristic,7,12,1.6517637418894626
heuristic,8,1,-2.0
