operator,compared_with,provenance,same_target_order,fingerprint_distance
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,promoted,True,0.38670426748147513
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,promoted,True,0.15533457209625487
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,promoted,True,0.06838451205435604
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,followup,True,0.36698472574597457
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,followup,True,0.1755063897560715
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,followup,True,0.14534870764574842
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,reference_mole_k2_m200,reference,False,0.2509641730717504
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,reference_mole_k4_m200,reference,False,0.16042675380985985
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,reference_mole_k6_m200,reference,True,1.0
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,reference_mole_k8_m200,reference,False,1.0
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,promoted,True,0.38670426748147513
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,promoted,True,0.3493345190591572
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,promoted,True,0.38678105988729755
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,followup,True,0.33752483363212943
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,followup,True,0.41385292408076024
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,followup,True,0.24683502208753613
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,reference_mole_k2_m200,reference,False,0.29308288121577625
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,reference_mole_k4_m200,reference,False,0.3888476477672635
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,reference_mole_k6_m200,reference,True,1.0
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,reference_mole_k8_m200,reference,False,1.0
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,promoted,True,0.15533457209625487
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,promoted,True,0.3493345190591572
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,promoted,True,0.1612937966556695
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,followup,True,0.49791086256488065
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,followup,True,0.32120220912617514
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,followup,True,0.13121517004020986
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,reference_mole_k2_m200,reference,False,0.25097528651212764
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,reference_mole_k4_m200,reference,False,0.1564818899924849
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,reference_mole_k6_m200,reference,True,1.0
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,reference_mole_k8_m200,reference,False,1.0
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,promoted,True,0.06838451205435604
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,promoted,True,0.38678105988729755
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,promoted,True,0.1612937966556695
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,followup,True,0.36632390193202646
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,followup,True,0.17289758711607303
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,followup,True,0.14542850844049685
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,reference_mole_k2_m200,reference,False,0.25096381475914886
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,reference_mole_k4_m200,reference,False,0.14498473630910094
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,reference_mole_k6_m200,reference,True,1.0
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,reference_mole_k8_m200,reference,False,1.0
