operator,provenance,cells,q_spd,q_min_eigenvalue,q_condition,nonreal_eigenvalues,operator_condition_2,rk2_dt_over_h2,rk4_dt_over_h2,weighted_symmetry_residual,max_relative_q_energy_rate,h2_max_relative_q_energy_rate,certified_q_contractive_numerically,weighted_spd_form_available
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,promoted,200,True,0.001955061664306471,3.8368578117019156,0,24991.31868031698,0.3243420272324347,0.4516938803960422,1.0612306188768169e-16,-19.739208803011202,-0.0004934802200752801,True,True
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,promoted,200,True,0.0016788719810791081,3.447419223318633,0,24991.34820860364,0.32434220679141246,0.4516941304582747,8.527437494769012e-17,-19.739208828854665,-0.0004934802207213667,True,True
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,promoted,200,True,0.0016588689276677401,4.574841703932689,0,25086.980658669727,0.3243372149715896,0.45168717861646357,1.0171862400585126e-16,-19.739208803870866,-0.0004934802200967717,True,True
reference_mole_k2_m200,reference,200,True,0.00499999999999994,1.0000000000000135,0,18775.536366991964,0.4330127018924337,0.6030337457267049,0.07195408441939963,-19.732577973670022,-0.0004933144493417506,False,False
reference_mole_k4_m200,reference,200,True,0.0037570726410472615,1.5465487736828485,0,24383.371553153433,0.3330488194960843,0.463819366620964,0.14851456664157534,-19.578412462256008,-0.0004894603115564002,False,False
reference_mole_k6_m200,reference,200,True,0.0023201801679170113,3.5997920990801373,4,26122.963974989336,0.3243420197364127,0.4516938699567312,0.522351240707882,13120.385391246435,0.3280096347811609,False,False
reference_mole_k8_m200,reference,200,False,-0.00525238105268633,,4,45726.33998715898,0.30222352538904396,0.42089061998776817,,,,False,False
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,promoted,200,True,0.0024414900821074573,3.351761658182974,0,24991.35081574974,0.32434218238634244,0.45169409647063236,1.2320723772556416e-16,-19.739208802832824,-0.0004934802200708206,True,True
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,followup,200,True,0.00465320057445059,1.4379604938902244,0,25416.95752351839,0.3191335699898324,0.44444033917949816,1.0995139815565671e-16,-19.739208802138265,-0.0004934802200534566,True,True
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,followup,200,True,0.0024185396657138815,3.9639922360836217,0,26456.885889891095,0.3067484083152768,0.42719218363256595,7.859842797555654e-17,-19.739208802168882,-0.000493480220054222,True,True
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,followup,200,True,0.0036463594789216294,1.5706751769927771,0,24991.189008467023,0.32434247302081964,0.4516945012218017,9.223252404971742e-17,-19.73920880206615,-0.0004934802200516537,True,True
