operator,library_family,target_order,library_target_order,block_distance,same_block_shape,match
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,castillo_grone_k2,6,2,0.4388130263677037,False,False
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,castillo_grone_k4,6,4,0.4057797842593971,False,False
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,castillo_grone_k6,6,6,0.8540053882259079,False,False
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,castillo_grone_k8,6,8,0.9262412024293407,False,False
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,castillo_grone_k2,6,2,1.0,False,False
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,castillo_grone_k4,6,4,1.0,False,False
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,castillo_grone_k6,6,6,1.0,False,False
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,castillo_grone_k8,6,8,1.0,False,False
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,castillo_grone_k2,6,2,0.49731823393898367,False,False
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,castillo_grone_k4,6,4,0.49731823393898367,False,False
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,castillo_grone_k6,6,6,0.9053227281727739,False,False
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,castillo_grone_k8,6,8,0.9731334651456574,False,False
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,castillo_grone_k2,6,2,0.4597890224891902,False,False
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,castillo_grone_k4,6,4,0.3443895190505417,False,False
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,castillo_grone_k6,6,6,0.8458199827979695,False,False
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,castillo_grone_k8,6,8,0.93426348406283,False,False
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,castillo_grone_k2,6,2,0.27352958382910764,False,False
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,castillo_grone_k4,6,4,0.21184387338409583,False,False
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,castillo_grone_k6,6,6,0.9492470134129032,False,False
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,castillo_grone_k8,6,8,0.9534843015484965,False,False
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,castillo_grone_k2,6,2,0.5220236153544986,False,False
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,castillo_grone_k4,6,4,0.20258104274670086,False,False
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,castillo_grone_k6,6,6,0.6079964839325207,False,False
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,castillo_grone_k8,6,8,0.8054079173820113,False,False
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,castillo_grone_k2,6,2,0.5603548856230731,False,False
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,castillo_grone_k4,6,4,0.5603548856230731,False,False
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,castillo_grone_k6,6,6,0.9914809028915303,False,False
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,castillo_grone_k8,6,8,0.9957181910271237,False,False
