seed,sequence_sha256,solver_calls,external_passes,notebook_hard_passes,external_rate
0,9a0a3dec7b7c578df51404bc9fc8bc35f6de8ef1890bbc055a00e7db724ce3e5,24,12,10,0.5
1,32287f719dbf53bc004c86758633f5cc233eb405822d17dc4fba2bc69ca48754,24,12,10,0.5
2,a89fb01fdb0e56b655e3dc933f20c4b8ab767877f0d47c84c692a880b388ea38,24,12,10,0.5
3,87b197cc05b3ea60a0300fe9f4abf285f5f0bd95f363e09b403aaf1b3bb27adf,24,12,10,0.5
4,50e8b88b0a392ed5d15e8f9a2955325178562b8f05aa1f737e0ad852afac2689,24,12,10,0.5
5,1ca1fbce08754a474c66d239a7fe65f8d6112893cfc92e20a61600295bf729b4,24,12,10,0.5
6,43be5e70b14db7f08e48ee178bfd78b2b66a0d08788a5bc52d9ab9370572da38,24,12,10,0.5
7,022d34ad7da0f86b4648e994d376b43a7916b3ab456f69743a3af485303e512e,24,12,10,0.5
8,40fb0debd4acab92e3f5680a6f1397f3fae099884585b85d1dab81dbef3864de,24,12,10,0.5
9,9e77cad4840f0102722589eeb1b48c82995d40fb13cbc0f801b29583f0b9e3af,24,12,10,0.5
