archive_condition,program_id,mesh_window,mixed_pde_rate,monotone_error_decrease,roundoff_limited,rate_interpretable
full_metrics,prog_k6_block_psd_reflection_hybrid_46eceb97ab23,40-80-160,5.8415372083344534,True,False,True
full_metrics,prog_k6_block_psd_reflection_hybrid_46eceb97ab23,80-160-320,4.190075776112504,True,False,True
full_metrics,prog_k6_block_psd_reflection_hybrid_46eceb97ab23,160-320-640,4.808093960141769,True,False,True
full_metrics,prog_k6_block_psd_reflection_hybrid_46eceb97ab23,80-160-320-640,4.476029440265064,True,False,True
illumination,prog_k6_block_psd_reflection_hybrid_ec036e6713a0,40-80-160,4.270508254791363,True,False,True
illumination,prog_k6_block_psd_reflection_hybrid_ec036e6713a0,80-160-320,4.839121790168465,True,False,True
illumination,prog_k6_block_psd_reflection_hybrid_ec036e6713a0,160-320-640,4.958126217712401,True,False,True
illumination,prog_k6_block_psd_reflection_hybrid_ec036e6713a0,80-160-320-640,4.891772755938833,True,False,True
no_archive,prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203,40-80-160,5.617867023233638,True,False,True
no_archive,prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203,80-160-320,3.902703549199411,True,False,True
no_archive,prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203,160-320-640,4.813490033470434,True,False,True
no_archive,prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203,80-160-320-640,4.297446887887312,True,False,True
reference,MOLE-CC-k6,40-80-160,5.887676131789854,True,False,True
reference,MOLE-CC-k6,80-160-320,6.714650480083152,True,False,True
reference,MOLE-CC-k6,160-320-640,3.3753496647518304,False,True,False
reference,MOLE-CC-k6,80-160-320-640,4.688095743653127,False,True,False
structure_only,prog_k6_block_psd_reflection_min_next_moment_973378905933,40-80-160,6.3361469872620395,True,False,True
structure_only,prog_k6_block_psd_reflection_min_next_moment_973378905933,80-160-320,4.852611889508157,True,False,True
structure_only,prog_k6_block_psd_reflection_min_next_moment_973378905933,160-320-640,4.673440523826437,True,False,True
structure_only,prog_k6_block_psd_reflection_min_next_moment_973378905933,80-160-320-640,4.841277657784304,True,False,True
