condition,seed,completed,solver_calls,generations,budget,preflight_rejections,repair_generations
cold,0,True,12,15,12,3,3
cold,1,True,12,12,12,0,0
cold,2,True,12,13,12,1,1
cold,3,True,12,13,12,0,0
cold,4,True,12,12,12,0,0
cold,5,True,12,15,12,2,2
cold,6,True,12,13,12,1,1
cold,7,True,12,16,12,4,4
cold,8,True,12,12,12,0,0
cold,9,False,0,60,12,0,0
archive_only,0,True,12,13,12,1,1
archive_only,1,False,8,60,12,0,0
archive_only,2,False,8,60,12,0,0
archive_only,3,False,0,60,12,0,0
archive_only,4,False,5,61,12,1,1
archive_only,5,False,5,60,12,0,0
archive_only,6,True,12,12,12,0,0
archive_only,7,False,0,60,12,0,0
archive_only,8,False,2,60,12,0,0
archive_only,9,False,1,60,12,0,0
diagnostic_only,0,False,2,61,12,0,0
diagnostic_only,1,False,0,60,12,0,0
diagnostic_only,2,False,0,60,12,0,0
diagnostic_only,3,False,1,61,12,0,0
diagnostic_only,4,False,1,61,12,0,0
diagnostic_only,5,False,1,61,12,0,0
diagnostic_only,6,False,0,60,12,0,0
diagnostic_only,7,False,0,60,12,0,0
diagnostic_only,8,False,2,60,12,0,0
diagnostic_only,9,False,1,61,12,0,0
full_feedback,0,False,2,61,12,1,1
full_feedback,1,False,2,61,12,0,0
full_feedback,2,False,8,60,12,0,0
full_feedback,3,False,0,60,12,0,0
full_feedback,4,False,5,61,12,1,1
full_feedback,5,False,7,61,12,1,1
full_feedback,6,False,3,61,12,0,0
full_feedback,7,False,0,60,12,0,0
full_feedback,8,False,2,60,12,0,0
full_feedback,9,False,1,60,12,0,0
two_stage,0,False,8,61,12,1,1
two_stage,1,False,6,60,12,0,0
two_stage,2,False,6,60,12,0,0
two_stage,3,False,9,60,12,0,0
two_stage,4,False,7,61,12,0,0
two_stage,5,False,7,61,12,2,2
two_stage,6,False,7,61,12,0,0
two_stage,7,False,10,60,12,2,2
two_stage,8,False,7,61,12,0,0
two_stage,9,False,0,60,12,0,0
