operator,gamma,kind,mean_drift,sd_drift,median_drift,trials
LLM-full_metrics,0.02,boundary,0.00270463147522585,0.00040720739661734837,0.0026934072402094453,40
LLM-full_metrics,0.02,dense,0.002985028685527909,0.00036121648996473,0.0029472565936930198,40
LLM-full_metrics,0.08,boundary,0.011533042004015958,0.002751905241867245,0.010923927840876374,40
LLM-full_metrics,0.08,dense,0.01272490378362171,0.001831892338041577,0.012713357159053282,40
LLM-structure_only,0.02,boundary,0.0026548105943654285,0.00037450640085396833,0.0026410776235802147,40
LLM-structure_only,0.02,dense,0.0030999396691756406,0.0005370471773144267,0.0030134420015474252,40
LLM-structure_only,0.08,boundary,0.011487133459648304,0.0025117883976604415,0.01071895251904982,40
LLM-structure_only,0.08,dense,0.012337870508159337,0.001914484922687128,0.012255292410688505,40
MOLE-CC-k6,0.02,boundary,0.0032376142783272694,0.0008623808297436843,0.003116584010669476,40
MOLE-CC-k6,0.02,dense,0.0031398055439708986,0.00047541907107431205,0.003014650516232318,40
MOLE-CC-k6,0.08,boundary,0.012940570791965447,0.003001990836599222,0.012198884123100329,40
MOLE-CC-k6,0.08,dense,0.013224986089313887,0.0019702742331820593,0.01306562247678762,40
