operator,cells,gamma,kind,trial,relative_worst_eigenvalue_drift,delta_relative_norm
MOLE-CC-k6,80,0.02,dense,0,0.003964506324815237,0.02000000000000001
MOLE-CC-k6,80,0.02,dense,1,0.0030280172664962656,0.019999999999999997
MOLE-CC-k6,80,0.02,dense,2,0.0032381196346800414,0.019999999999999997
MOLE-CC-k6,80,0.02,dense,3,0.0032227840606889237,0.019999999999999983
MOLE-CC-k6,80,0.02,dense,4,0.0029654151201270193,0.019999999999999997
MOLE-CC-k6,80,0.02,dense,5,0.004569343174124592,0.01999999999999999
MOLE-CC-k6,80,0.02,dense,6,0.0030848225580053148,0.02
MOLE-CC-k6,80,0.02,dense,7,0.002858775437619535,0.020000000000000004
MOLE-CC-k6,80,0.02,dense,8,0.003298465891684682,0.019999999999999997
MOLE-CC-k6,80,0.02,dense,9,0.002508568091127319,0.019999999999999993
MOLE-CC-k6,80,0.02,dense,10,0.002930236837098036,0.020000000000000007
MOLE-CC-k6,80,0.02,dense,11,0.0035248848211785963,0.019999999999999997
MOLE-CC-k6,80,0.02,dense,12,0.0026757588905540306,0.02
MOLE-CC-k6,80,0.02,dense,13,0.0028032605017813653,0.02
MOLE-CC-k6,80,0.02,dense,14,0.003469330971807196,0.02
MOLE-CC-k6,80,0.02,dense,15,0.003323940474809826,0.020000000000000007
MOLE-CC-k6,80,0.02,dense,16,0.002960509932077468,0.019999999999999997
MOLE-CC-k6,80,0.02,dense,17,0.003055685199299492,0.019999999999999997
MOLE-CC-k6,80,0.02,dense,18,0.003895371350202003,0.019999999999999993
MOLE-CC-k6,80,0.02,dense,19,0.0029785436858108605,0.02
MOLE-CC-k6,80,0.02,dense,20,0.0024603264838642673,0.020000000000000004
MOLE-CC-k6,80,0.02,dense,21,0.002837905736730444,0.02
MOLE-CC-k6,80,0.02,dense,22,0.0032326354099987626,0.020000000000000025
MOLE-CC-k6,80,0.02,dense,23,0.0034874260871347457,0.02000000000000001
MOLE-CC-k6,80,0.02,dense,24,0.00274637514118362,0.020000000000000004
MOLE-CC-k6,80,0.02,dense,25,0.0029695636869247637,0.019999999999999997
MOLE-CC-k6,80,0.02,dense,26,0.002567987654906784,0.02
MOLE-CC-k6,80,0.02,dense,27,0.00300128376596837,0.019999999999999993
MOLE-CC-k6,80,0.02,dense,28,0.0036655592526341012,0.019999999999999997
MOLE-CC-k6,80,0.02,dense,29,0.002711344277532542,0.020000000000000004
MOLE-CC-k6,80,0.02,dense,30,0.002735759760561204,0.020000000000000007
MOLE-CC-k6,80,0.02,dense,31,0.003459758297340365,0.019999999999999997
MOLE-CC-k6,80,0.02,dense,32,0.0029320422196385306,0.02
MOLE-CC-k6,80,0.02,dense,33,0.00273245810810028,0.020000000000000004
MOLE-CC-k6,80,0.02,dense,34,0.0030637547219237588,0.019999999999999993
MOLE-CC-k6,80,0.02,dense,35,0.0027069139474815607,0.019999999999999997
MOLE-CC-k6,80,0.02,dense,36,0.0025128085925471407,0.02000000000000002
MOLE-CC-k6,80,0.02,dense,37,0.0037204965815725655,0.019999999999999997
MOLE-CC-k6,80,0.02,dense,38,0.0035632887964949424,0.020000000000000004
MOLE-CC-k6,80,0.02,dense,39,0.004128193012309376,0.01999999999999999
MOLE-CC-k6,80,0.02,boundary,0,0.005339927194644894,0.019999999999999997
MOLE-CC-k6,80,0.02,boundary,1,0.004091993580954396,0.02000000000000001
MOLE-CC-k6,80,0.02,boundary,2,0.00233839028971178,0.01999999999999999
MOLE-CC-k6,80,0.02,boundary,3,0.003093770124804106,0.019999999999999997
MOLE-CC-k6,80,0.02,boundary,4,0.0023748324939844453,0.019999999999999997
MOLE-CC-k6,80,0.02,boundary,5,0.002603166623838772,0.020000000000000007
MOLE-CC-k6,80,0.02,boundary,6,0.003657914646769773,0.020000000000000004
MOLE-CC-k6,80,0.02,boundary,7,0.0040271365838426545,0.020000000000000007
MOLE-CC-k6,80,0.02,boundary,8,0.003672871888698918,0.02
MOLE-CC-k6,80,0.02,boundary,9,0.003552999904383025,0.020000000000000004
MOLE-CC-k6,80,0.02,boundary,10,0.002762814776184234,0.019999999999999997
MOLE-CC-k6,80,0.02,boundary,11,0.002838176177209846,0.02
MOLE-CC-k6,80,0.02,boundary,12,0.0031132745244344764,0.019999999999999997
MOLE-CC-k6,80,0.02,boundary,13,0.002307172729667416,0.02
MOLE-CC-k6,80,0.02,boundary,14,0.0046723092875054165,0.020000000000000004
MOLE-CC-k6,80,0.02,boundary,15,0.0027959914614328015,0.019999999999999997
MOLE-CC-k6,80,0.02,boundary,16,0.003119893496904476,0.020000000000000004
MOLE-CC-k6,80,0.02,boundary,17,0.0020619946890659043,0.020000000000000014
MOLE-CC-k6,80,0.02,boundary,18,0.002290393252183622,0.019999999999999997
MOLE-CC-k6,80,0.02,boundary,19,0.001980748310534513,0.019999999999999997
MOLE-CC-k6,80,0.02,boundary,20,0.0037390036016257027,0.02000000000000001
MOLE-CC-k6,80,0.02,boundary,21,0.0035282976782793135,0.020000000000000007
MOLE-CC-k6,80,0.02,boundary,22,0.0039872850120741135,0.02
MOLE-CC-k6,80,0.02,boundary,23,0.0018797959884284375,0.020000000000000004
MOLE-CC-k6,80,0.02,boundary,24,0.0029254800358629674,0.019999999999999997
MOLE-CC-k6,80,0.02,boundary,25,0.005425641202383958,0.019999999999999997
MOLE-CC-k6,80,0.02,boundary,26,0.0036782155888391323,0.02
MOLE-CC-k6,80,0.02,boundary,27,0.004224642838305609,0.020000000000000004
MOLE-CC-k6,80,0.02,boundary,28,0.0023613578660092414,0.020000000000000004
MOLE-CC-k6,80,0.02,boundary,29,0.003749662481694878,0.020000000000000007
MOLE-CC-k6,80,0.02,boundary,30,0.0028932996432002173,0.02000000000000001
MOLE-CC-k6,80,0.02,boundary,31,0.0028145612494635017,0.019999999999999997
MOLE-CC-k6,80,0.02,boundary,32,0.0025104032332549705,0.020000000000000004
MOLE-CC-k6,80,0.02,boundary,33,0.004351392509206447,0.020000000000000007
MOLE-CC-k6,80,0.02,boundary,34,0.003164378022079312,0.020000000000000004
MOLE-CC-k6,80,0.02,boundary,35,0.002488751221909693,0.02000000000000001
MOLE-CC-k6,80,0.02,boundary,36,0.003421169846094709,0.02
MOLE-CC-k6,80,0.02,boundary,37,0.0025924989071587287,0.019999999999999993
MOLE-CC-k6,80,0.02,boundary,38,0.0031423178644531097,0.02
MOLE-CC-k6,80,0.02,boundary,39,0.003930644306011268,0.019999999999999997
MOLE-CC-k6,80,0.08,dense,0,0.01545711669588106,0.07999999999999999
MOLE-CC-k6,80,0.08,dense,1,0.01130356773868303,0.08
MOLE-CC-k6,80,0.08,dense,2,0.010415658643048872,0.08000000000000004
MOLE-CC-k6,80,0.08,dense,3,0.011232978538295902,0.08000000000000004
MOLE-CC-k6,80,0.08,dense,4,0.012836183085198561,0.08
MOLE-CC-k6,80,0.08,dense,5,0.014403598801949191,0.08000000000000006
MOLE-CC-k6,80,0.08,dense,6,0.010922613461167791,0.08000000000000006
MOLE-CC-k6,80,0.08,dense,7,0.013924699870651456,0.07999999999999999
MOLE-CC-k6,80,0.08,dense,8,0.01225276204076759,0.07999999999999999
MOLE-CC-k6,80,0.08,dense,9,0.013877833068338608,0.08000000000000002
MOLE-CC-k6,80,0.08,dense,10,0.010474852948327203,0.08000000000000002
MOLE-CC-k6,80,0.08,dense,11,0.016749626147305196,0.08000000000000006
MOLE-CC-k6,80,0.08,dense,12,0.013880589461938755,0.08
MOLE-CC-k6,80,0.08,dense,13,0.014205374856173271,0.07999999999999999
MOLE-CC-k6,80,0.08,dense,14,0.012566305597491646,0.07999999999999995
MOLE-CC-k6,80,0.08,dense,15,0.013044941585781294,0.08000000000000004
MOLE-CC-k6,80,0.08,dense,16,0.015297540965700069,0.08000000000000003
MOLE-CC-k6,80,0.08,dense,17,0.012773297767218889,0.08000000000000002
MOLE-CC-k6,80,0.08,dense,18,0.01335960166638952,0.08000000000000003
MOLE-CC-k6,80,0.08,dense,19,0.011184994005122476,0.08
MOLE-CC-k6,80,0.08,dense,20,0.01202406758156544,0.07999999999999999
MOLE-CC-k6,80,0.08,dense,21,0.012485789867811263,0.08000000000000002
MOLE-CC-k6,80,0.08,dense,22,0.012309061771938305,0.08000000000000006
MOLE-CC-k6,80,0.08,dense,23,0.014243629329087593,0.08
MOLE-CC-k6,80,0.08,dense,24,0.011228798440052746,0.08
MOLE-CC-k6,80,0.08,dense,25,0.01297078174225722,0.07999999999999999
MOLE-CC-k6,80,0.08,dense,26,0.01284358289304344,0.07999999999999999
MOLE-CC-k6,80,0.08,dense,27,0.018332056087526125,0.08000000000000004
MOLE-CC-k6,80,0.08,dense,28,0.009307815774925515,0.07999999999999999
MOLE-CC-k6,80,0.08,dense,29,0.010749570817183673,0.07999999999999999
MOLE-CC-k6,80,0.08,dense,30,0.014475930458089415,0.08000000000000003
MOLE-CC-k6,80,0.08,dense,31,0.013086303367793947,0.07999999999999999
MOLE-CC-k6,80,0.08,dense,32,0.013800521510267642,0.08000000000000006
MOLE-CC-k6,80,0.08,dense,33,0.011415787279155579,0.07999999999999999
MOLE-CC-k6,80,0.08,dense,34,0.014104435251536795,0.07999999999999995
MOLE-CC-k6,80,0.08,dense,35,0.013113134471403385,0.08000000000000002
MOLE-CC-k6,80,0.08,dense,36,0.015125560419963867,0.07999999999999999
MOLE-CC-k6,80,0.08,dense,37,0.01796793237671895,0.07999999999999999
MOLE-CC-k6,80,0.08,dense,38,0.01452612824857412,0.08
MOLE-CC-k6,80,0.08,dense,39,0.014724418938230016,0.08
MOLE-CC-k6,80,0.08,boundary,0,0.009245672404884284,0.07999999999999999
MOLE-CC-k6,80,0.08,boundary,1,0.010148009980536101,0.08
MOLE-CC-k6,80,0.08,boundary,2,0.011376232810135115,0.07999999999999999
MOLE-CC-k6,80,0.08,boundary,3,0.008321506480155732,0.07999999999999999
MOLE-CC-k6,80,0.08,boundary,4,0.015350274795438129,0.08
MOLE-CC-k6,80,0.08,boundary,5,0.012420452634786873,0.08000000000000003
MOLE-CC-k6,80,0.08,boundary,6,0.009415945705128652,0.08
MOLE-CC-k6,80,0.08,boundary,7,0.011822476396265075,0.07999999999999999
MOLE-CC-k6,80,0.08,boundary,8,0.013187066686579294,0.08000000000000002
MOLE-CC-k6,80,0.08,boundary,9,0.010347279615792942,0.08000000000000002
MOLE-CC-k6,80,0.08,boundary,10,0.010108216455124382,0.08000000000000002
MOLE-CC-k6,80,0.08,boundary,11,0.01980127276327208,0.08000000000000002
MOLE-CC-k6,80,0.08,boundary,12,0.009107674333910269,0.07999999999999999
MOLE-CC-k6,80,0.08,boundary,13,0.009053495456969029,0.08000000000000002
MOLE-CC-k6,80,0.08,boundary,14,0.011309290960213537,0.08000000000000002
MOLE-CC-k6,80,0.08,boundary,15,0.012067203734322405,0.08
