archive_condition,model_id,role,solver_calls
full_metrics,MiniMaxAI/MiniMax-M3,accuracy_critic,13
full_metrics,MiniMaxAI/MiniMax-M3,adversarial_verifier,9
full_metrics,MiniMaxAI/MiniMax-M3,architecture_proposer,14
full_metrics,MiniMaxAI/MiniMax-M3,spectral_critic,9
full_metrics,nvidia/Cosmos3-Super-Reasoner,accuracy_critic,12
full_metrics,nvidia/Cosmos3-Super-Reasoner,adversarial_verifier,15
full_metrics,nvidia/Cosmos3-Super-Reasoner,architecture_proposer,7
full_metrics,nvidia/Cosmos3-Super-Reasoner,spectral_critic,5
full_metrics,zai-org/GLM-5.2,accuracy_critic,7
full_metrics,zai-org/GLM-5.2,adversarial_verifier,5
full_metrics,zai-org/GLM-5.2,architecture_proposer,12
full_metrics,zai-org/GLM-5.2,spectral_critic,12
illumination,MiniMaxAI/MiniMax-M3,accuracy_critic,14
illumination,MiniMaxAI/MiniMax-M3,adversarial_verifier,8
illumination,MiniMaxAI/MiniMax-M3,architecture_proposer,8
illumination,MiniMaxAI/MiniMax-M3,spectral_critic,11
illumination,nvidia/Cosmos3-Super-Reasoner,accuracy_critic,7
illumination,nvidia/Cosmos3-Super-Reasoner,adversarial_verifier,13
illumination,nvidia/Cosmos3-Super-Reasoner,architecture_proposer,10
illumination,nvidia/Cosmos3-Super-Reasoner,spectral_critic,11
illumination,zai-org/GLM-5.2,accuracy_critic,10
illumination,zai-org/GLM-5.2,adversarial_verifier,10
illumination,zai-org/GLM-5.2,architecture_proposer,10
illumination,zai-org/GLM-5.2,spectral_critic,8
no_archive,MiniMaxAI/MiniMax-M3,accuracy_critic,11
no_archive,MiniMaxAI/MiniMax-M3,adversarial_verifier,9
no_archive,MiniMaxAI/MiniMax-M3,architecture_proposer,9
no_archive,MiniMaxAI/MiniMax-M3,spectral_critic,5
no_archive,nvidia/Cosmos3-Super-Reasoner,accuracy_critic,11
no_archive,nvidia/Cosmos3-Super-Reasoner,adversarial_verifier,6
no_archive,nvidia/Cosmos3-Super-Reasoner,architecture_proposer,10
no_archive,nvidia/Cosmos3-Super-Reasoner,spectral_critic,13
no_archive,zai-org/GLM-5.2,accuracy_critic,11
no_archive,zai-org/GLM-5.2,adversarial_verifier,10
no_archive,zai-org/GLM-5.2,architecture_proposer,13
no_archive,zai-org/GLM-5.2,spectral_critic,12
structure_only,MiniMaxAI/MiniMax-M3,accuracy_critic,8
structure_only,MiniMaxAI/MiniMax-M3,adversarial_verifier,14
structure_only,MiniMaxAI/MiniMax-M3,architecture_proposer,4
structure_only,MiniMaxAI/MiniMax-M3,spectral_critic,4
structure_only,nvidia/Cosmos3-Super-Reasoner,accuracy_critic,6
structure_only,nvidia/Cosmos3-Super-Reasoner,adversarial_verifier,13
structure_only,nvidia/Cosmos3-Super-Reasoner,architecture_proposer,14
structure_only,nvidia/Cosmos3-Super-Reasoner,spectral_critic,15
structure_only,zai-org/GLM-5.2,accuracy_critic,13
structure_only,zai-org/GLM-5.2,adversarial_verifier,8
structure_only,zai-org/GLM-5.2,architecture_proposer,10
structure_only,zai-org/GLM-5.2,spectral_critic,11
