operator,family,cells,unknowns,target_order,norm_available,symmetry_residual,min_eigenvalue_symmetric_part,max_eigenvalue_symmetric_part,symmetric_part_condition_proxy,symmetric_part_is_spd,cg_applicable,direct_original_solution_error,direct_original_relative_residual,cg_certified_iterations,cg_certified_converged,cg_certified_relative_residual,cg_certified_solution_error,cg_symmetric_part_diagnostic_iterations,cg_symmetric_part_diagnostic_converged,cg_symmetric_part_diagnostic_relative_residual,cg_symmetric_part_diagnostic_solution_error,gmres_original_iterations,gmres_original_converged,gmres_original_relative_residual,gmres_original_solution_error,bicgstab_original_iterations,bicgstab_original_converged,bicgstab_original_relative_residual,bicgstab_original_solution_error
full_metrics_prog_k6_block_psd_reflection_hybrid_46eceb97ab23_m200,primary_exact,200,200,6,True,1.0612306188768169e-16,0.04934802192169301,1692.597337234597,34299.193185908516,True,True,1.6583619934281497e-07,1.3783486817033543e-13,116.0,True,3.953396954691873e-11,1.658356635499643e-07,116,True,3.737325460079074e-11,1.658356768056227e-07,269,True,9.643429374344414e-11,1.6641040599181942e-07,173,True,4.9637825397281646e-11,1.6585152352061174e-07
illumination_prog_k6_block_psd_reflection_hybrid_ec036e6713a0_m200,primary_exact,200,200,6,True,8.527437494769012e-17,0.04934802159947008,1233.26603008671,24991.19498845225,True,True,5.871696681644892e-06,1.4581731891343673e-13,115.0,True,3.823671498259481e-11,5.871696106820527e-06,115,True,2.7132938247012478e-11,5.871696059235647e-06,1463,True,9.957971406623036e-11,5.872739556682567e-06,120,True,5.135438404155669e-11,5.871676312423278e-06
no_archive_prog_k6_block_psd_asymmetric_hybrid_f8ec01d38203_m200,primary_exact,200,200,6,True,1.0171862400585126e-16,0.04934802197595843,1666.3701992170556,33767.72021437626,True,True,3.383591704220481e-07,1.3814638091979717e-13,120.0,True,5.58771396800529e-11,3.3835854895835223e-07,120,True,5.665193213107904e-11,3.383585562209616e-07,290,True,9.974185669723084e-11,3.3930337137232156e-07,127,True,4.063621956145621e-11,3.383436261489415e-07
structure_only_prog_k6_block_psd_reflection_min_next_moment_973378905933_m200,primary_exact,200,200,6,True,1.2320723772556416e-16,0.049348021939394485,1865.1471633552383,37795.78370224994,True,True,1.253239165497173e-07,1.4523907143746e-13,116.0,True,2.5218280062071178e-11,1.2532337794112108e-07,116,True,3.058576641495188e-11,1.2532340941182177e-07,263,True,9.7433584941918e-11,1.2541103740218303e-07,134,True,2.704369217982001e-12,1.253241173527865e-07
v12_1_cold_prog_k6_block_psd_asymmetric_min_next_moment_8a3f6d67a915_m200,followup_exact,200,200,6,True,1.0995139815565671e-16,0.049348022004696186,1636.3330818255533,33159.04093724025,True,True,1.8385491133523815e-08,1.2811098186565955e-13,114.0,True,6.627513163067945e-11,1.8385189701522907e-08,114,True,6.05365990663689e-11,1.8385205240423984e-08,277,True,9.991961687845719e-11,1.8405298218048973e-08,148,True,9.162901313290058e-11,1.8397204747982305e-08
v12_1_random_prog_k6_block_psd_reflection_min_next_moment_298eeaa4221c_m200,followup_exact,200,200,6,True,7.859842797555654e-17,0.049348022002963725,2495.650828972104,50572.45919243169,True,True,9.381927981431289e-09,1.498621991962062e-13,118.0,True,2.915316724517766e-11,9.381376503214444e-09,118,True,2.2612446824383004e-11,9.381487474787702e-09,190,True,9.742550729783468e-11,9.413062369303385e-09,127,True,7.014077493769424e-11,9.400994959465906e-09
v12_diagonal_prog_k6_diagonal_asymmetric_hybrid_5e80ffe4c774_m200,followup_exact,200,200,6,True,9.223252404971742e-17,0.049348021988925656,1233.2644413843577,24991.16259738067,True,True,3.0376457098285174e-07,1.4596775989497952e-13,114.0,True,2.695259649932123e-11,3.0376466686615583e-07,114,True,2.248409730708466e-11,3.0376468365587943e-07,328,True,9.519339646977754e-11,3.0368689434949257e-07,130,True,6.946912643730904e-11,3.0377106737193903e-07
reference_mole_k2_m200,reference,200,200,2,True,0.07195408441939963,0.0493314449341223,925.6410256410256,18763.712007161674,True,False,0.00024117204726144544,6.864774286435036e-14,,,,,102,True,3.7084936884717006e-13,0.0010509232767430563,909,True,9.971031226893973e-11,0.00024117207266583575,117,True,6.830636779496779e-11,0.0002411720504890619
reference_mole_k4_m200,reference,200,200,4,True,0.14851456664157534,0.04894592428097284,1248.925689983415,25516.438974857003,True,False,3.4715490802778644e-07,1.1068827612057702e-13,,,,,108,True,3.1064983710863646e-11,0.024060430979793303,237,True,9.647237420255124e-11,3.47153207405171e-07,143,True,1.2269497820136802e-11,3.471556201027275e-07
reference_mole_k6_m200,reference,200,200,6,True,0.522351240707882,-26.000484784797088,1379.0845652993216,53.04072507546841,False,False,1.002510282683709e-09,1.404411628579817e-13,,,,,118,True,4.966543449873911e-11,0.27836556195491635,143,True,9.506825223446772e-11,1.0147343054966979e-09,236,True,8.021865720256096e-11,1.0076862281727498e-09
reference_mole_k8_m200,reference,200,200,8,True,0.8900549283678426,-844.8656645590282,2386.5347977603888,2.824750605773551,False,False,6.14997078965363e-12,1.4623090661017523e-13,,,,,211,True,8.90351032420297e-11,0.3687853465724258,46,True,9.735640527502233e-11,2.483241315470678e-11,103,True,8.8924525584525e-11,1.616957401321234e-11
